Format,MoTeC CSV File,,,Workbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venue,mount_panorama,,,Worksheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,AMG GT3 Evo,,,Vehicle Desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver,,,,Engine ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device,ADL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,,,,Session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log Date,28/11/2021,,,Origin Time,1286.94,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log Time,15:24:08,,,Start Time,1286.94,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Rate,50,Hz,,End Time,1412.22,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duration,125.28,s,,Start Distance,61355,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Range,Lap 11,,,End Distance,67521,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beacon Markers,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Distance,LAP_BEACON,G_LAT,ROTY,STEERANGLE,SPEED,THROTTLE,BRAKE,GEAR,G_LON,CLUTCH,RPMS,TC,ABS,SUS_TRAVEL_LF,SUS_TRAVEL_RF,SUS_TRAVEL_LR,SUS_TRAVEL_RR,BRAKE_TEMP_LF,BRAKE_TEMP_RF,BRAKE_TEMP_LR,BRAKE_TEMP_RR,TYRE_PRESS_LF,TYRE_PRESS_RF,TYRE_PRESS_LR,TYRE_PRESS_RR,TYRE_TAIR_LF,TYRE_TAIR_RF,TYRE_TAIR_LR,TYRE_TAIR_RR,WHEEL_SPEED_LF,WHEEL_SPEED_RF,WHEEL_SPEED_LR,WHEEL_SPEED_RR,BUMPSTOPUP_RIDE_LF,BUMPSTOPUP_RIDE_RF,BUMPSTOPUP_RIDE_LR,BUMPSTOPUP_RIDE_RR
s,m,..,m/s2,deg/s,deg,km/h,%,%,no,m/s2,%,1/min,..,..,mm,mm,mm,mm,C,C,C,C,..,..,..,..,C,C,C,C,m/s,m/s,m/s,m/s,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0.09,1.78,3,149.8,100,0,3,0,0,6027,0,0,18,17,32,35,518,521,290,290,28,28,27,28,90,96,84,87,42,42,43,43,0,0,0,0
0.02,1,0,0.09,1.78,3,150.3,100,0,3,0,0,5934,0,0,18,17,32,36,518,521,290,290,28,28,27,28,90,96,84,87,42,42,43,43,0,0,0,0
0.04,2,0,0.1,1.85,3,150.6,100,0,3,0,0,5912,0,0,18,17,33,36,517,520,289,289,28,28,27,28,90,96,84,87,42,42,43,43,0,0,0,0
0.06,3,0,0.1,1.85,4,150.8,100,0,3,0,0,5943,0,0,17,17,33,37,517,520,289,289,28,28,27,28,90,96,84,87,42,42,43,43,0,0,0,0
0.08,3,0,0.1,1.85,4,151,100,0,3,0,0,5995,0,0,17,17,33,36,517,520,289,289,28,28,27,28,90,96,84,87,42,42,43,43,0,0,0,0
0.1,4,0,0.12,2.18,4,151.3,100,0,3,0,0,6048,0,0,16,17,32,36,515,519,289,289,28,28,27,28,90,96,84,87,42,42,43,43,0,0,0,0
0.12,5,0,0.12,2.18,4,151.7,100,0,3,0,0,6061,0,0,16,17,31,35,515,519,289,289,28,28,27,28,90,96,84,87,42,42,43,43,0,0,0,0
0.14,6,0,0.14,2.55,4,152,100,0,3,0,0,6043,0,0,16,17,31,35,514,518,288,288,28,28,27,28,90,96,84,87,42,43,44,44,0,0,0,0
0.16,7,0,0.14,2.55,5,152.2,100,0,3,0,0,6034,0,0,16,17,31,35,514,518,288,288,28,28,27,28,90,96,84,87,42,43,44,44,0,0,0,0
0.18,8,0,0.14,2.55,5,152.4,100,0,3,0,0,6040,0,0,17,17,31,35,514,518,288,288,28,28,27,28,90,96,84,87,43,43,44,44,0,0,0,0
0.2,8,0,0.22,2.99,5,152.7,100,0,3,0,0,6057,0,0,17,17,31,36,513,517,288,288,28,28,27,28,90,96,84,87,43,43,44,44,0,0,0,0
0.22,9,0,0.22,2.99,4,153.1,100,0,3,0,0,6087,0,0,17,17,31,36,513,517,288,288,28,28,27,28,90,96,84,87,43,43,44,44,0,0,0,0
0.24,10,0,0.25,3.15,4,153.4,100,0,3,0,0,6094,0,0,17,18,31,37,512,516,288,288,28,28,27,28,90,96,84,87,43,43,44,44,0,0,0,0
0.26,11,0,0.25,3.15,3,153.6,100,0,3,0,0,6102,0,0,16,19,31,36,512,516,288,288,28,28,27,28,90,96,84,87,43,43,44,44,0,0,0,0
0.28,12,0,0.25,3.15,2,153.9,100,0,3,0,0,6111,0,0,16,19,31,36,512,516,288,288,28,28,27,28,90,96,84,87,43,43,44,44,0,0,0,0
0.3,13,0,0.17,1.57,2,154.1,100,0,3,0,0,6121,0,0,16,19,31,37,511,514,287,287,28,28,27,28,90,96,84,87,43,43,44,44,0,0,0,0
0.32,14,0,0.17,1.57,1,154.6,100,0,3,0,0,6138,0,0,15,19,31,37,511,514,287,287,28,28,27,28,90,96,84,87,43,43,44,44,0,0,0,0
0.34,14,0,0.09,0.24,1,154.8,100,0,3,0,0,6149,0,0,16,18,31,37,510,513,287,287,28,28,27,28,90,96,84,87,43,43,44,44,0,0,0,0
0.36,15,0,0.09,0.24,1,155,100,0,3,0,0,6163,0,0,17,18,31,36,510,513,287,287,28,28,27,28,90,96,84,87,43,43,44,44,0,0,0,0
0.38,16,0,0.09,0.24,1,155.2,100,0,3,0,0,6174,0,0,17,18,31,36,510,513,287,287,28,28,27,28,90,96,84,87,43,43,44,44,0,0,0,0
0.4,17,0,0.09,0.08,1,155.5,100,0,3,0,0,6182,0,0,17,18,32,36,509,512,286,286,28,28,27,28,90,96,84,87,43,44,44,44,0,0,0,0
0.42,18,0,0.09,0.08,1,156,100,0,3,0,0,6185,0,0,17,19,32,36,509,512,286,286,28,28,27,28,90,96,84,87,44,44,45,45,0,0,0,0
0.44,19,0,0.08,0.21,1,156.2,100,0,3,0,0,6190,0,0,16,19,32,36,508,511,286,286,28,28,27,28,90,96,84,87,44,44,45,45,0,0,0,0
0.46,20,0,0.08,0.21,1,156.5,100,0,3,0,0,6199,0,0,16,19,33,36,508,511,286,286,28,28,27,28,90,96,84,87,44,44,45,45,0,0,0,0
0.48,20,0,0.08,0.21,1,156.7,100,0,3,0,0,6210,0,0,15,19,34,36,508,511,286,286,28,28,27,28,90,96,84,87,44,44,45,45,0,0,0,0
0.5,21,0,0.06,0.2,1,156.9,100,0,3,0,0,6226,0,0,15,18,33,35,507,510,285,286,28,28,27,28,90,96,84,87,44,44,45,45,0,0,0,0
0.52,22,0,0.06,0.2,0,157.3,100,0,3,0,0,6254,0,0,15,18,33,35,507,510,285,286,28,28,27,28,90,96,84,87,44,44,45,45,0,0,0,0
0.54,23,0,0.08,-0.08,0,157.6,100,0,3,0,0,6265,0,0,16,18,33,34,506,509,285,285,28,28,27,28,90,96,84,87,44,44,45,45,0,0,0,0
0.56,24,0,0.08,-0.08,0,157.8,100,0,3,0,0,6273,0,0,16,18,33,33,506,509,285,285,28,28,27,28,90,96,84,87,44,44,45,45,0,0,0,0
0.58,25,0,0.08,-0.08,0,158,100,0,3,0,0,6280,0,0,16,18,32,33,506,509,285,285,28,28,27,28,90,96,84,87,44,44,45,45,0,0,0,0
0.6,26,0,0.04,-0.73,-1,158.3,100,0,3,0,0,6285,0,0,17,19,32,33,505,508,285,285,28,28,27,28,90,96,84,87,44,44,45,45,0,0,0,0
0.62,27,0,0.04,-0.73,-1,158.7,100,0,3,0,0,6292,0,0,18,20,33,34,505,508,285,285,28,28,27,28,90,96,84,87,44,44,45,45,0,0,0,0
0.64,27,0,-0.03,-1.5,-1,158.9,100,0,3,0,0,6298,0,0,18,21,34,34,504,507,284,284,28,28,27,28,90,96,84,87,45,45,45,45,0,0,0,0
0.66,28,0,-0.03,-1.5,-1,159.2,100,0,3,0,0,6305,0,0,19,21,34,35,504,507,284,284,28,28,27,28,90,96,84,87,45,45,45,45,0,0,0,0
0.68,29,0,-0.03,-1.5,-1,159.4,100,0,3,0,0,6312,0,0,19,21,35,35,504,507,284,284,28,28,27,28,90,96,84,87,45,45,45,45,0,0,0,0
0.7,30,0,-0.07,-1.55,-1,159.6,100,0,3,0,0,6322,0,0,19,20,36,36,502,506,284,284,28,28,27,28,90,96,84,87,45,45,46,46,0,0,0,0
0.72,31,0,-0.07,-1.55,-1,160.1,100,0,3,0,0,6343,0,0,19,19,37,37,502,506,284,284,28,28,27,28,90,96,84,87,45,45,46,46,0,0,0,0
0.74,32,0,-0.07,-1.03,-1,160.3,100,0,3,0,0,6359,0,0,18,18,36,36,501,505,283,283,28,28,27,28,90,96,84,87,45,45,46,46,0,0,0,0
0.76,33,0,-0.07,-1.03,-1,160.5,100,0,3,0,0,6377,0,0,17,17,36,35,501,505,283,283,28,28,27,28,90,96,84,87,45,45,46,46,0,0,0,0
0.78,34,0,-0.07,-1.03,-1,160.7,100,0,3,0,0,6394,0,0,16,17,34,34,501,505,283,283,28,28,27,28,90,96,84,87,45,45,46,46,0,0,0,0
0.8,35,0,-0.07,-0.84,-1,160.9,100,0,3,0,0,6413,0,0,16,16,33,32,500,504,283,283,28,28,27,28,90,96,84,87,45,45,46,46,0,0,0,0
0.82,35,0,-0.07,-0.84,-1,161.4,100,0,3,0,0,6434,0,0,15,15,31,31,500,504,283,283,28,28,27,28,90,96,84,87,45,45,46,46,0,0,0,0
0.84,36,0,-0.06,-0.8,-1,161.6,100,0,3,0,0,6436,0,0,15,15,30,30,499,502,282,283,28,28,27,28,90,96,84,87,45,45,46,46,0,0,0,0
0.86,37,0,-0.06,-0.8,-1,161.8,100,0,3,0,0,6437,0,0,15,15,30,30,499,502,282,283,28,28,27,28,90,96,84,87,45,45,46,46,0,0,0,0
0.88,38,0,-0.06,-0.8,-1,162,100,0,3,0,0,6439,0,0,15,16,30,29,499,502,282,283,28,28,27,28,90,96,84,87,45,45,46,46,0,0,0,0
0.9,39,0,-0.07,-1,-1,162.3,100,0,3,0,0,6442,0,0,16,17,30,29,498,501,282,282,28,28,27,28,90,96,84,87,45,45,46,46,0,0,0,0
0.92,40,0,-0.07,-1,-1,162.7,100,0,3,0,0,6441,0,0,17,18,31,30,498,501,282,282,28,28,27,28,90,96,84,87,46,45,46,46,0,0,0,0
0.94,41,0,-0.07,-0.71,-1,163,100,0,3,0,0,6442,0,0,17,18,32,31,497,500,282,282,28,28,27,28,90,96,84,87,46,46,46,46,0,0,0,0
0.96,42,0,-0.07,-0.71,-1,163.2,100,0,3,0,0,6450,0,0,17,18,33,32,497,500,282,282,28,28,27,28,90,96,84,87,46,46,47,47,0,0,0,0
0.98,43,0,-0.07,-0.71,-1,163.4,100,0,3,0,0,6463,0,0,17,18,34,32,497,500,282,282,28,28,27,28,90,96,84,87,46,46,47,47,0,0,0,0
1,44,0,-0.06,-0.67,-1,163.6,100,0,3,0,0,6483,0,0,17,18,34,32,496,499,281,281,28,28,27,28,90,96,84,87,46,46,47,47,0,0,0,0
1.02,45,0,-0.06,-0.67,-1,164,100,0,3,0,0,6517,0,0,18,19,34,32,496,499,281,281,28,28,27,28,90,96,84,87,46,46,47,47,0,0,0,0
1.04,45,0,-0.07,-0.97,-1,164.2,100,0,3,0,0,6525,0,0,18,19,34,32,495,498,281,281,28,28,27,28,90,96,84,87,46,46,47,47,0,0,0,0
1.06,46,0,-0.07,-0.97,-1,164.5,100,0,3,0,0,6526,0,0,19,20,34,32,495,498,281,281,28,28,27,28,90,96,84,87,46,46,47,47,0,0,0,0
1.08,47,0,-0.07,-0.97,-2,164.7,100,0,3,0,0,6524,0,0,19,19,34,32,495,498,281,281,28,28,27,28,90,96,84,87,46,46,47,47,0,0,0,0
1.1,48,0,-0.06,-0.92,-2,164.9,100,0,3,0,0,6523,0,0,19,19,35,33,494,497,280,280,28,28,27,28,90,96,84,87,46,46,47,47,0,0,0,0
1.12,49,0,-0.06,-0.92,-2,165.3,100,0,3,0,0,6538,0,0,18,18,36,34,494,497,280,280,28,28,27,28,90,96,84,87,46,46,47,47,0,0,0,0
1.14,50,0,-0.07,-0.81,-2,165.6,100,0,3,0,0,6556,0,0,18,18,36,34,493,496,280,280,28,28,27,28,90,96,84,87,46,46,47,47,0,0,0,0
1.16,51,0,-0.07,-0.81,-3,165.8,100,0,3,0,0,6577,0,0,17,17,35,33,493,496,280,280,28,28,27,28,90,96,84,87,46,46,47,47,0,0,0,0
1.18,52,0,-0.07,-0.81,-3,166,100,0,3,0,0,6593,0,0,17,17,35,33,493,496,280,280,28,28,27,28,90,96,84,87,46,46,47,47,0,0,0,0
1.2,53,0,-0.1,-1.53,-3,166.2,100,0,3,0,0,6607,0,0,17,17,34,32,491,495,279,280,28,28,27,28,90,96,84,87,46,46,48,48,0,0,0,0
1.22,54,0,-0.1,-1.53,-3,166.6,100,0,3,0,0,6616,0,0,17,17,33,32,491,495,279,280,28,28,27,28,90,96,84,87,47,46,48,48,0,0,0,0
1.24,55,0,-0.13,-1.93,-3,166.8,100,0,3,0,0,6617,0,0,17,16,33,31,490,494,279,279,28,28,27,28,90,96,84,87,47,46,48,48,0,0,0,0
1.26,56,0,-0.13,-1.93,-3,167.1,100,0,3,0,0,6619,0,0,16,16,33,31,490,494,279,279,28,28,27,28,90,96,84,87,47,47,48,48,0,0,0,0
1.28,57,0,-0.13,-1.93,-3,167.3,100,0,3,0,0,6624,0,0,16,15,32,31,490,494,279,279,28,28,27,28,90,96,84,87,47,47,48,48,0,0,0,0
1.3,57,0,-0.15,-1.93,-3,167.5,100,0,3,0,0,6633,0,0,16,14,32,31,489,492,278,279,28,28,27,28,90,96,84,87,47,47,48,48,0,0,0,0
1.32,58,0,-0.15,-1.93,-3,167.9,100,0,3,0,0,6657,0,0,15,13,32,31,489,492,278,279,28,28,27,28,90,96,84,87,47,47,48,48,0,0,0,0
1.34,59,0,-0.15,-1.99,-3,168.1,100,0,3,0,0,6673,0,0,14,12,31,30,488,491,278,278,28,28,27,28,90,96,84,87,47,47,48,48,0,0,0,0
1.36,60,0,-0.15,-1.99,-3,168.3,100,0,3,0,0,6692,0,0,14,12,31,30,488,491,278,278,28,28,27,28,90,96,84,87,47,47,48,48,0,0,0,0
1.38,61,0,-0.15,-1.99,-3,168.5,100,0,3,0,0,6710,0,0,14,11,29,28,488,491,278,278,28,28,27,28,90,96,84,87,47,47,48,48,0,0,0,0
1.4,62,0,-0.17,-2.18,-3,168.7,100,0,3,0,0,6725,0,0,13,11,29,27,487,490,278,278,28,28,27,28,90,96,84,87,47,47,48,48,0,0,0,0
1.42,63,0,-0.17,-2.18,-3,169.2,100,0,3,0,0,6730,0,0,13,11,28,27,487,490,278,278,28,28,27,28,90,96,84,87,47,47,48,48,0,0,0,0
1.44,64,0,-0.22,-2.62,-3,169.4,100,0,3,0,0,6728,0,0,13,10,27,27,486,489,277,277,28,28,27,28,90,96,84,87,47,47,49,49,0,0,0,0
1.46,65,0,-0.22,-2.62,-3,169.6,100,0,3,0,0,6729,0,0,13,9,27,27,486,489,277,277,28,28,27,28,90,96,84,87,47,47,49,49,0,0,0,0
