Format,MoTeC CSV File,,,Workbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venue,Canadian Tire Motorsport Park,,,Worksheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,DPi Class,,,Vehicle Desc,Cadillac DPi #10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver,Jörgen Salij,,,Engine ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device,ADL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,,,,Session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log Date,04/01/2022,,,Origin Time,1168.772,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log Time,14:29:39,,,Start Time,1168.78,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Rate,50,Hz,,End Time,1237,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duration,68.22,s,,Start Distance,62946.5,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Range,Lap 16,,,End Distance,66867.6,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beacon Markers,                                ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Distance,Ground Speed,Throttle Pos,Brake Pos,Clutch Pos,Steering,Realtime Loss,Marker,Max Straight Speed,Min Corner Speed,Brake Bias Rear,Steering Shaft Torque,FFB Output,Session Elapsed Time,Lap Number,Steering Wheel Position,Engine RPM,Gear,G Force Lat,G Force Long,G Force Vert,Eng Water Temp,Eng Oil Temp,Fuel Level,Brake Temp FL,Brake Temp FR,Brake Temp RL,Brake Temp RR,GPS Latitude,GPS Longitude,Ambient Temperature,Track Temperature,Wheel Rot Speed FL,Wheel Rot Speed FR,Wheel Rot Speed RL,Wheel Rot Speed RR,Tyre Wear FL,Tyre Wear FR,Tyre Wear RL,Tyre Wear RR,Tyre Pressure FL,Tyre Pressure FR,Tyre Pressure RL,Tyre Pressure RR,Tyre Load FL,Tyre Load FR,Tyre Load RL,Tyre Load RR,Grip Fract FL,Grip Fract FR,Grip Fract RL,Grip Fract RR,Ride Height FL,Ride Height FR,Ride Height RL,Ride Height RR,Tyre Temp FL Outer,Tyre Temp FL Centre,Tyre Temp FL Inner,Tyre Temp FR Outer,Tyre Temp FR Centre,Tyre Temp FR Inner,Tyre Temp RL Outer,Tyre Temp RL Centre,Tyre Temp RL Inner,Tyre Temp RR Outer,Tyre Temp RR Centre,Tyre Temp RR Inner
s,m,km/h,%,%,%,%,s,,km/h,km/h,%,N.m,%,s,,deg,rpm,,G,G,G,C,C,l,C,C,C,C,deg,deg,C,C,rad/s,rad/s,rad/s,rad/s,%,%,%,%,kPa,kPa,kPa,kPa,N,N,N,N,%,%,%,%,mm,mm,mm,mm,C,C,C,C,C,C,C,C,C,C,C,C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,205.9,100,0,0,-1.716,0,0,169.58,130.92,46.61,1.5,17.408,3470,44,-3.86,6774,4,0.57,-0.45,-0.01,0,0,35.57,529.3,513.5,412.1,406.9,0.00675832,-135.0023524,29,29,169.51,169.9,166.29,166.29,8.486,8.006,8.858,7.25,170.74,168.26,169.39,166.05,0,0,0,0,0,0,0,0,58.9,54.6,64.8,61,62.74,60.34,61.14,60.07,59.55,63.99,66.85,67.61,71.64,60.1,64.11,72.96
0.02,1.1,206.2,100,0,0,-1.728,0,0,169.58,130.92,46.61,1.43,12.876,3470,44,-3.88,6784,4,0.52,-0.46,0.03,0,0,35.57,528.7,512.9,411.7,406.5,0.0067557,-135.0023424,29,29,169.82,170.26,166.54,166.54,8.486,8.006,8.858,7.25,170.73,168.25,169.38,166.04,0,0,0,0,0,0,0,0,60.1,54.9,64.8,61.2,62.72,60.33,61.13,60.07,59.55,63.98,66.82,67.59,71.63,60.11,64.11,72.96
0.04,2.3,206.5,100,0,0,-1.742,0,0,169.58,130.92,46.61,1.44,17.528,3470,44,-3.91,6796,4,0.56,-0.47,-0.03,0,0,35.57,528.1,512.4,411.3,406.1,0.00675314,-135.0023323,29,29,169.91,170.43,166.76,166.76,8.486,8.006,8.858,7.25,170.72,168.23,169.37,166.02,0,0,0,0,0,0,0,0,60.6,54.5,66.6,63.5,62.71,60.32,61.12,60.06,59.54,63.97,66.79,67.57,71.62,60.11,64.12,72.95
0.06,3.5,206.9,100,0,0,-1.757,0,0,169.58,130.92,46.61,1.46,15.572,3470,44,-3.94,6807,4,0.61,-0.47,-0.09,0,0,35.57,527.6,511.8,410.9,405.7,0.00675058,-135.0023221,29,29,170,170.6,166.97,166.97,8.486,8.006,8.858,7.25,170.71,168.21,169.36,166,0,0,0,0,0,0,0,0,61,54.1,68.4,65.8,62.7,60.31,61.11,60.06,59.54,63.96,66.76,67.55,71.6,60.11,64.12,72.95
