Format,MoTeC CSV File,,,Workbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venue,Sebring -- 12 Hour Road Course,,,Worksheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,DPi,,,Vehicle Desc,Cadillac DPi #01 Chip Ganassi Racing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver,Jörgen Salij,,,Engine ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device,ADL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,,,,Session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log Date,30/12/2021,,,Origin Time,1517.875,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log Time,15:36:32,,,Start Time,1517.88,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Rate,50,Hz,,End Time,1628.26,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duration,110.38,s,,Start Distance,75519.7,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Range,Lap 13,,,End Distance,81319,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beacon Markers,                    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Distance,Ground Speed,Throttle Pos,Brake Pos,Clutch Pos,Steering,Realtime Loss,Marker,Max Straight Speed,Min Corner Speed,Brake Bias Rear,Steering Shaft Torque,FFB Output,Session Elapsed Time,Lap Number,Steering Wheel Position,Engine RPM,Gear,G Force Lat,G Force Long,G Force Vert,Eng Water Temp,Eng Oil Temp,Fuel Level,Brake Temp FL,Brake Temp FR,Brake Temp RL,Brake Temp RR,GPS Latitude,GPS Longitude,Ambient Temperature,Track Temperature,Wheel Rot Speed FL,Wheel Rot Speed FR,Wheel Rot Speed RL,Wheel Rot Speed RR,Tyre Wear FL,Tyre Wear FR,Tyre Wear RL,Tyre Wear RR,Tyre Pressure FL,Tyre Pressure FR,Tyre Pressure RL,Tyre Pressure RR,Tyre Load FL,Tyre Load FR,Tyre Load RL,Tyre Load RR,Grip Fract FL,Grip Fract FR,Grip Fract RL,Grip Fract RR,Ride Height FL,Ride Height FR,Ride Height RL,Ride Height RR,Tyre Temp FL Outer,Tyre Temp FL Centre,Tyre Temp FL Inner,Tyre Temp FR Outer,Tyre Temp FR Centre,Tyre Temp FR Inner,Tyre Temp RL Outer,Tyre Temp RL Centre,Tyre Temp RL Inner,Tyre Temp RR Outer,Tyre Temp RR Centre,Tyre Temp RR Inner
s,m,km/h,%,%,%,%,s,,km/h,km/h,%,N.m,%,s,,deg,rpm,,G,G,G,C,C,l,C,C,C,C,deg,deg,C,C,rad/s,rad/s,rad/s,rad/s,%,%,%,%,kPa,kPa,kPa,kPa,N,N,N,N,%,%,%,%,mm,mm,mm,mm,C,C,C,C,C,C,C,C,C,C,C,C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,245.3,100,0,0,-0.152,0,0,284.1,145.54,44.916,-0.88,-0.896,3980,32,-0.34,7336,5,0.04,-0.28,-0.12,0,0,24.85,511.3,497.5,390.1,385.5,2.462E-05,-135.0008515,24.9,24.9,202.89,203.2,197.6,197.6,7.808,8.206,11.044,9.916,159.9,158.78,159.51,157.45,0,0,0,0,0,0,0,0,57.3,52.5,49.6,49.5,58.93,58.6,59.68,48.84,53.31,62.84,65.3,66.94,70.23,55.98,62.56,72.53
0.02,1.4,245.5,100,0,0,-0.152,0,0,284.1,145.54,44.916,-0.71,-8.104,3980,32,-0.34,7342,5,-0.06,-0.29,0.06,0,0,24.85,510.7,496.9,389.7,385.1,2.415E-05,-135.0008392,24.9,24.9,203.34,203.14,197.78,197.78,7.808,8.206,11.044,9.916,159.93,158.81,159.48,157.42,0,0,0,0,0,0,0,0,61.2,56.2,50.1,50.2,58.91,58.58,59.66,48.83,53.3,62.82,65.28,66.93,70.22,55.98,62.55,72.52
0.04,2.7,245.7,100,0,0,-0.159,0,0,284.1,145.54,44.916,-0.47,1.732,3980,32,-0.36,7250,5,-0.16,-0.29,0.23,0,0,24.85,510.1,496.3,389.3,384.7,2.368E-05,-135.0008269,24.9,24.9,202.88,203.04,197.91,197.91,7.808,8.206,11.044,9.916,159.96,158.84,159.44,157.39,0,0,0,0,0,0,0,0,59.4,55.4,51.8,52,58.89,58.56,59.64,48.83,53.29,62.81,65.26,66.92,70.22,55.97,62.55,72.5
0.06,4.1,245.8,100,0,0,-0.166,0,0,284.1,145.54,44.916,-0.23,-1.6,3980,32,-0.37,7158,5,-0.26,-0.29,-0.02,0,0,24.85,509.5,495.7,388.8,384.3,2.321E-05,-135.0008146,24.9,24.9,202.41,202.95,198.04,198.04,7.808,8.206,11.044,9.916,159.99,158.87,159.41,157.36,0,0,0,0,0,0,0,0,57.7,54.7,53.6,53.8,58.87,58.54,59.63,48.82,53.28,62.8,65.25,66.91,70.21,55.97,62.54,72.49
0.08,5.5,245.9,100,0,0,-0.174,0,0,284.1,145.54,44.916,0.02,7.664,3980,32,-0.39,7066,6,-0.35,-0.3,-0.27,0,0,24.85,508.9,495.2,388.4,383.8,2.274E-05,-135.0008023,24.9,24.9,202.49,203.08,198.21,198.21,7.808,8.206,11.044,9.916,160.02,158.9,159.38,157.33,0,0,0,0,0,0,0,0,55.9,53.9,55.3,55.6,58.84,58.52,59.61,48.81,53.28,62.79,65.23,66.9,70.21,55.97,62.53,72.48
0.1,6.8,246.1,100,0,0,-0.181,0,0,284.1,145.54,44.916,0.26,2.208,3980,32,-0.4,6974,6,-0.14,-0.25,-0.43,0,0,24.85,508.3,494.6,387.9,383.4,2.227E-05,-135.00079,24.9,24.9,203.1,203.43,198.44,198.44,7.808,8.206,11.044,9.916,160.05,158.93,159.34,157.3,0,0,0,0,0,0,0,0,54.2,53.2,57.1,57.3,58.82,58.5,59.6,48.81,53.27,62.77,65.22,66.89,70.2,55.96,62.53,72.47
0.12,8.2,246.2,100,0,0,-0.188,0,0,284.1,145.54,44.916,0.5,0.024,3980,32,-0.42,6882,6,0.07,-0.2,-0.59,0,0,24.85,507.7,494,387.5,383,2.18E-05,-135.0007777,24.9,24.9,203.72,203.78,198.66,198.66,7.808,8.206,11.044,9.916,160.08,158.96,159.31,157.27,0,0,0,0,0,0,0,0,52.4,52.4,58.8,59.1,58.8,58.48,59.58,48.8,53.26,62.76,65.2,66.88,70.2,55.96,62.52,72.46
0.14,9.6,246.3,100,0,0,-0.274,0,0,284.1,145.54,44.916,0.66,-4.984,3980,32,-0.62,6807,6,-0.04,-0.27,-0.43,0,0,24.85,507.1,493.4,387.1,382.6,2.135E-05,-135.0007653,24.9,24.9,203.63,203.65,197.85,197.85,7.808,8.206,11.044,9.916,160.08,158.95,159.35,157.3,0,0,0,0,0,0,0,0,50.6,50.3,57.4,57.3,58.8,58.48,59.6,48.81,53.27,62.77,65.22,66.9,70.23,55.99,62.55,72.49
0.16,10.9,246.4,100,0,0,-0.361,0,0,284.1,145.54,44.916,0.82,-5.416,3980,32,-0.81,6732,6,-0.14,-0.33,-0.28,0,0,24.85,506.5,492.8,386.6,382.1,2.09E-05,-135.000753,24.9,24.9,203.54,203.52,197.04,197.04,7.808,8.206,11.044,9.916,160.09,158.94,159.38,157.33,0,0,0,0,0,0,0,0,48.8,48.2,55.9,55.5,58.8,58.49,59.61,48.82,53.29,62.78,65.24,66.93,70.26,56.01,62.58,72.52
