Time,Distance,Best Lap Delta,Best Lap Time,Brake Bias,Brake Pos,CG Accel Lateral,CG Accel Longitudinal,Car Coord X,Car Coord Y,Car Coord Z,DRS Active,DRS Available,Engine RPM,Fuel Level,Gear,Ground Speed,KERS Charge,KERS Deployed Energy,Last Sector Time,Max RPM,Throttle Pos
s,m,s,s,%,%,G,G,m,m,m,,,rpm,l,,km/h,%,kJ,s,rpm,%
0,0,26.22,107.932,54,0,0.02,0.6,241.4,-626.3,19.2,1,1,12355,13.35,5,226.8,93.6,0,32.179,13050,100
0.05,3.2,0.003,107.932,54,0,0.06,0.82,244.8,-631.4,19.3,1,1,10733,13.35,6,229.2,93.6,0,32.179,13050,100
0.1,6.4,0.003,107.932,54,0,0.06,0.82,244.8,-631.4,19.3,1,1,10733,13.35,6,229.2,93.6,0,32.179,13050,100
0.15,9.6,0.003,107.932,54,0,-0.01,0.57,246.7,-634.2,19.3,1,1,10795,13.35,6,230.4,93.6,0,32.179,13050,100
0.2,12.8,0.003,107.932,54,0,-0.01,0.6,248.4,-636.8,19.4,1,1,10816,13.34,6,231.5,93.6,0,32.179,13050,100
0.25,16,0.003,107.932,54,0,0.02,0.6,250.2,-639.5,19.4,1,1,10868,13.34,6,232.6,93.6,0,32.179,13050,100
0.3,19.3,0.003,107.932,54,0,0.06,0.6,252.1,-642.3,19.5,1,1,10910,13.34,6,233.7,93.6,0,32.179,13050,100
0.35,22.5,0.003,107.932,54,0,0.1,0.62,253.8,-644.9,19.5,1,1,10959,13.34,6,234.7,93.6,0,32.179,13050,100
0.4,25.8,0.003,107.932,54,0,0.09,0.63,255.6,-647.7,19.6,1,1,11022,13.34,6,235.7,93.6,0,32.179,13050,100
0.45,29.1,0.003,107.932,54,0,0.06,0.56,257.5,-650.4,19.7,1,1,11064,13.34,6,236.8,93.6,0,32.179,13050,100
0.5,32.4,0.003,107.932,54,0,-0.01,0.56,259.3,-653.1,19.7,1,1,11105,13.33,6,237.8,93.6,0,32.179,13050,100
0.55,35.7,0.003,107.932,54,0,-0.08,0.56,261.1,-655.9,19.8,1,1,11153,13.33,6,238.8,93.6,0,32.179,13050,100
0.6,39,0.003,107.932,54,0,-0.06,0.58,263,-658.7,19.8,1,1,11171,13.33,6,239.8,93.6,0,32.179,13050,100
0.65,42.4,0.003,107.932,54,0,-0.01,0.56,264.8,-661.4,19.9,1,1,11222,13.33,6,240.8,93.6,0,32.179,13050,100
0.7,45.7,0.003,107.932,54,0,-0.03,0.63,266.7,-664.2,20,1,1,11291,13.33,6,241.7,93.6,0,32.179,13050,100
0.75,49.1,0.003,107.932,54,0,-0.05,0.51,268.6,-667.1,20,1,1,11340,13.33,6,242.7,93.6,0,32.179,13050,100
0.8,52.5,0.003,107.932,54,0,-0.01,0.5,270.4,-669.8,20.1,1,1,11351,13.32,6,243.6,93.6,0,32.179,13050,100
0.85,55.9,0.003,107.932,54,0,-0.07,0.55,272.3,-672.6,20.1,1,1,11403,13.32,6,244.6,93.6,0,32.179,13050,100
0.9,59.3,0.003,107.932,54,0,-0.07,0.53,274.3,-675.5,20.2,1,1,11442,13.32,6,245.5,93.6,0,32.179,13050,100
0.95,62.7,0.003,107.932,54,0,-0.04,0.54,276.1,-678.2,20.3,1,1,11484,13.32,6,246.4,93.6,0,32.179,13050,100
1,66.2,0.003,107.932,54,0,-0.02,0.51,278,-681.2,20.3,1,1,11513,13.32,6,247.3,93.6,0,32.179,13050,100
1.05,69.6,0.003,107.932,54,0,0.05,0.47,280,-684.1,20.4,1,1,11576,13.32,6,248.2,93.6,0,32.179,13050,100
1.1,73.1,0.003,107.932,54,0,0.11,0.47,281.8,-686.8,20.4,1,1,11610,13.31,6,249,93.6,0,32.179,13050,100
1.15,76.5,0.003,107.932,54,0,0.14,0.45,283.8,-689.8,20.5,1,1,11646,13.31,6,249.9,93.6,0,32.179,13050,100
1.2,80,0.003,107.932,54,0,0.16,0.47,285.7,-692.7,20.6,1,1,11665,13.31,6,250.8,93.6,0,32.179,13050,100
