Format,MoTeC CSV File,,,Workbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venue,mount_panorama,,,Worksheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,AMG GT3 Evo,,,Vehicle Desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver,,,,Engine ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device,ADL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,,,,Session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log Date,30/11/2021,,,Origin Time,4894.43,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log Time,16:07:42,,,Start Time,4894.43,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Rate,50,Hz,,End Time,5019.185,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duration,124.755,s,,Start Distance,227832,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Range,Lap 38,,,End Distance,234001,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beacon Markers,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Distance,LAP_BEACON,G_LAT,ROTY,STEERANGLE,SPEED,THROTTLE,BRAKE,GEAR,G_LON,CLUTCH,RPMS,TC,ABS,SUS_TRAVEL_LF,SUS_TRAVEL_RF,SUS_TRAVEL_LR,SUS_TRAVEL_RR,BRAKE_TEMP_LF,BRAKE_TEMP_RF,BRAKE_TEMP_LR,BRAKE_TEMP_RR,TYRE_PRESS_LF,TYRE_PRESS_RF,TYRE_PRESS_LR,TYRE_PRESS_RR,TYRE_TAIR_LF,TYRE_TAIR_RF,TYRE_TAIR_LR,TYRE_TAIR_RR,WHEEL_SPEED_LF,WHEEL_SPEED_RF,WHEEL_SPEED_LR,WHEEL_SPEED_RR,BUMPSTOPUP_RIDE_LF,BUMPSTOPUP_RIDE_RF,BUMPSTOPUP_RIDE_LR,BUMPSTOPUP_RIDE_RR
s,m,..,m/s2,deg/s,deg,km/h,%,%,no,m/s2,%,1/min,..,..,mm,mm,mm,mm,C,C,C,C,..,..,..,..,C,C,C,C,m/s,m/s,m/s,m/s,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0.14,2.34,4,150.2,100,0,3,0,0,5980,0,0,17,17,33,34,544,551,303,303,28,28,27,28,92,98,86,89,42,42,43,43,0,0,0,0
0.02,1,0,0.14,2.34,3,150.4,100,0,3,0,0,6002,0,0,18,17,32,35,544,551,303,303,28,28,27,28,92,98,86,89,42,42,43,43,0,0,0,0
0.04,2,0,0.14,2.34,3,150.7,100,0,3,0,0,5998,0,0,18,17,32,36,544,551,303,303,28,28,27,28,92,98,86,89,42,42,43,43,0,0,0,0
0.06,3,0,0.12,2.05,3,150.9,100,0,3,0,0,5980,0,0,17,17,32,36,543,550,303,303,28,28,27,28,92,98,86,89,42,42,43,43,0,0,0,0
0.08,3,0,0.12,2.05,3,151.4,100,0,3,0,0,5981,0,0,17,17,33,36,543,550,303,303,28,28,27,28,92,98,86,89,42,42,43,43,0,0,0,0
0.1,4,0,0.15,2.15,3,151.6,100,0,3,0,0,6009,0,0,16,17,32,36,541,549,302,303,28,28,27,28,92,98,86,89,42,42,43,43,0,0,0,0
0.12,5,0,0.15,2.15,4,151.8,100,0,3,0,0,6037,0,0,16,17,32,36,541,549,302,303,28,28,27,28,92,98,86,89,42,42,43,43,0,0,0,0
0.14,6,0,0.15,2.15,4,152.1,100,0,3,0,0,6060,0,0,16,17,32,36,541,549,302,303,28,28,27,28,92,98,86,89,42,42,44,44,0,0,0,0
0.16,7,0,0.17,2.56,4,152.3,100,0,3,0,0,6066,0,0,16,16,31,35,540,548,302,302,28,28,27,28,92,98,86,89,43,43,44,44,0,0,0,0
0.18,8,0,0.17,2.56,4,152.8,100,0,3,0,0,6060,0,0,16,16,31,35,540,548,302,302,28,28,27,28,92,98,86,89,43,43,44,44,0,0,0,0
0.2,8,0,0.16,2.22,4,153,100,0,3,0,0,6066,0,0,17,17,30,35,539,547,301,302,28,28,27,28,92,98,86,89,43,43,44,44,0,0,0,0
0.22,9,0,0.16,2.22,4,153.2,100,0,3,0,0,6078,0,0,17,17,30,36,539,547,301,302,28,28,27,28,92,98,86,89,43,43,44,44,0,0,0,0
0.24,10,0,0.16,2.22,4,153.5,100,0,3,0,0,6091,0,0,17,17,30,36,539,547,301,302,28,28,27,28,92,98,86,89,43,43,44,44,0,0,0,0
0.26,11,0,0.17,2.26,4,153.7,100,0,3,0,0,6099,0,0,17,18,31,37,538,545,301,301,28,28,27,28,92,98,86,89,43,43,44,44,0,0,0,0
0.28,12,0,0.17,2.26,4,154.2,100,0,3,0,0,6104,0,0,17,19,32,37,538,545,301,301,28,28,27,28,92,98,86,89,43,43,44,44,0,0,0,0
0.3,13,0,0.15,1.94,3,154.4,100,0,3,0,0,6113,0,0,16,20,32,37,537,544,300,301,28,28,27,28,92,98,86,89,43,43,44,44,0,0,0,0
0.32,14,0,0.15,1.94,3,154.6,100,0,3,0,0,6124,0,0,16,19,33,37,537,544,300,301,28,28,27,28,92,98,86,89,43,43,44,44,0,0,0,0
0.34,14,0,0.15,1.94,3,154.9,100,0,3,0,0,6139,0,0,16,19,33,38,537,544,300,301,28,28,27,28,92,98,86,89,43,43,44,44,0,0,0,0
0.36,15,0,0.14,1.69,3,155.1,100,0,3,0,0,6153,0,0,16,19,33,38,536,543,300,300,28,28,27,28,92,98,86,89,43,43,44,44,0,0,0,0
0.38,16,0,0.14,1.69,3,155.5,100,0,3,0,0,6176,0,0,17,19,33,37,536,543,300,300,28,28,27,28,92,98,86,89,43,44,44,44,0,0,0,0
0.4,17,0,0.13,1.67,3,155.8,100,0,3,0,0,6187,0,0,17,19,33,36,535,542,299,300,28,28,27,28,92,98,86,89,44,44,45,45,0,0,0,0
0.42,18,0,0.13,1.67,3,156,100,0,3,0,0,6193,0,0,18,19,33,36,535,542,299,300,28,28,27,28,92,98,86,89,44,44,45,45,0,0,0,0
0.44,19,0,0.13,1.67,3,156.2,100,0,3,0,0,6196,0,0,17,19,33,36,535,542,299,300,28,28,27,28,92,98,86,89,44,44,45,45,0,0,0,0
0.46,20,0,0.11,1.28,3,156.5,100,0,3,0,0,6196,0,0,17,19,33,37,534,541,299,299,28,28,27,28,92,98,86,89,44,44,45,45,0,0,0,0
0.48,20,0,0.11,1.28,3,156.9,100,0,3,0,0,6206,0,0,17,19,34,37,534,541,299,299,28,28,27,28,92,98,86,89,44,44,45,45,0,0,0,0
0.5,21,0,0.09,1.25,3,157.2,100,0,3,0,0,6223,0,0,17,19,34,37,532,540,299,299,28,28,27,28,92,98,86,89,44,44,45,45,0,0,0,0
0.52,22,0,0.09,1.25,3,157.4,100,0,3,0,0,6238,0,0,16,19,34,37,532,540,299,299,28,28,27,28,92,98,86,89,44,44,45,45,0,0,0,0
0.54,23,0,0.09,1.25,3,157.6,100,0,3,0,0,6254,0,0,16,18,34,37,532,540,299,299,28,28,27,28,92,98,86,89,44,44,45,45,0,0,0,0
0.56,24,0,0.1,1.5,3,157.8,100,0,3,0,0,6265,0,0,16,18,34,36,531,538,298,299,28,28,27,28,92,98,86,89,44,44,45,45,0,0,0,0
0.58,25,0,0.1,1.5,3,158.3,100,0,3,0,0,6278,0,0,16,19,33,36,531,538,298,299,28,28,27,28,92,98,86,89,44,44,45,45,0,0,0,0
0.6,26,0,0.13,1.51,3,158.5,100,0,3,0,0,6288,0,0,17,19,33,35,530,537,298,298,28,28,27,28,92,98,86,89,44,44,45,45,0,0,0,0
0.62,27,0,0.13,1.51,3,158.7,100,0,3,0,0,6295,0,0,17,20,33,35,530,537,298,298,28,28,27,28,92,98,86,89,44,45,45,45,0,0,0,0
0.64,28,0,0.13,1.51,3,158.9,100,0,3,0,0,6299,0,0,18,21,34,35,530,537,298,298,28,28,27,28,92,98,86,89,45,45,45,45,0,0,0,0
0.66,28,0,0.09,1.15,3,159.2,100,0,3,0,0,6300,0,0,19,21,34,36,529,536,297,298,28,28,27,28,92,98,86,89,45,45,45,45,0,0,0,0
0.68,29,0,0.09,1.15,3,159.6,100,0,3,0,0,6305,0,0,19,20,35,37,529,536,297,298,28,28,27,28,92,98,86,89,45,45,45,45,0,0,0,0
0.7,30,0,0.06,0.81,2,159.8,100,0,3,0,0,6316,0,0,19,18,36,38,528,535,297,297,28,28,27,28,92,98,86,89,45,45,46,46,0,0,0,0
0.72,31,0,0.06,0.81,2,160,100,0,3,0,0,6330,0,0,19,17,36,39,528,535,297,297,28,28,27,28,92,98,86,89,45,45,46,46,0,0,0,0
0.74,32,0,0.06,0.81,2,160.3,100,0,3,0,0,6350,0,0,19,17,35,38,528,535,297,297,28,28,27,28,92,98,86,89,45,45,46,46,0,0,0,0
0.76,33,0,0.05,0.88,2,160.5,100,0,3,0,0,6374,0,0,18,17,34,37,527,534,296,297,28,28,27,28,92,98,86,89,45,45,46,46,0,0,0,0
0.78,34,0,0.05,0.88,2,160.9,100,0,3,0,0,6404,0,0,17,17,33,36,527,534,296,297,28,28,27,28,92,98,86,89,45,45,46,46,0,0,0,0
0.8,35,0,0.05,1.24,2,161.1,100,0,3,0,0,6403,0,0,17,18,32,35,525,533,296,296,28,28,27,28,92,98,86,89,45,45,46,46,0,0,0,0
0.82,36,0,0.05,1.24,1,161.3,100,0,3,0,0,6400,0,0,15,17,32,34,525,533,296,296,28,28,27,28,92,98,86,89,45,45,46,46,0,0,0,0
0.84,36,0,0.05,1.24,1,161.6,100,0,3,0,0,6399,0,0,15,17,32,34,525,533,296,296,28,28,27,28,92,98,86,89,45,45,46,46,0,0,0,0
0.86,37,0,0.06,0.91,1,161.8,100,0,3,0,0,6405,0,0,15,17,32,34,524,531,295,296,28,28,27,28,92,98,86,89,45,45,46,46,0,0,0,0
0.88,38,0,0.06,0.91,1,162.2,100,0,3,0,0,6432,0,0,15,17,32,34,524,531,295,296,28,28,27,28,92,98,86,89,45,45,46,46,0,0,0,0
0.9,39,0,0.06,0.34,0,162.4,100,0,3,0,0,6445,0,0,16,18,32,33,523,530,295,295,28,28,27,28,92,98,86,89,45,45,46,46,0,0,0,0
0.92,40,0,0.06,0.34,0,162.6,100,0,3,0,0,6449,0,0,17,18,32,33,523,530,295,295,28,28,27,28,92,98,86,89,45,46,46,46,0,0,0,0
0.94,41,0,0.06,0.34,0,162.9,100,0,3,0,0,6448,0,0,17,19,33,34,523,530,295,295,28,28,27,28,92,98,86,89,46,46,46,46,0,0,0,0
0.96,42,0,0.03,-0.46,-1,163.1,100,0,3,0,0,6448,0,0,17,20,33,35,522,529,295,295,28,28,27,28,92,98,86,89,46,46,47,47,0,0,0,0
0.98,43,0,0.03,-0.46,-1,163.5,100,0,3,0,0,6463,0,0,16,21,34,35,522,529,295,295,28,28,27,28,92,98,86,89,46,46,47,47,0,0,0,0
1,44,0,-0.04,-1.5,-1,163.7,100,0,3,0,0,6478,0,0,16,21,35,35,521,528,294,295,28,28,27,28,92,98,86,89,46,46,47,47,0,0,0,0
1.02,45,0,-0.04,-1.5,-1,163.9,100,0,3,0,0,6489,0,0,17,20,36,36,521,528,294,295,28,28,27,28,92,98,86,89,46,46,47,47,0,0,0,0
1.04,45,0,-0.04,-1.5,-1,164.1,100,0,3,0,0,6500,0,0,17,19,36,36,521,528,294,295,28,28,27,28,92,98,86,89,46,46,47,47,0,0,0,0
1.06,46,0,-0.08,-1.51,0,164.4,100,0,3,0,0,6511,0,0,18,18,36,35,520,527,294,294,28,28,27,28,92,98,86,89,46,46,47,47,0,0,0,0
1.08,47,0,-0.08,-1.51,0,164.8,100,0,3,0,0,6533,0,0,19,18,35,34,520,527,294,294,28,28,27,28,92,98,86,89,46,46,47,47,0,0,0,0
1.1,48,0,-0.05,-0.72,1,165,100,0,3,0,0,6540,0,0,19,18,35,34,519,526,293,294,28,28,27,28,92,98,86,89,46,46,47,47,0,0,0,0
1.12,49,0,-0.05,-0.72,1,165.2,100,0,3,0,0,6543,0,0,19,18,35,34,519,526,293,294,28,28,27,28,92,98,86,89,46,46,47,47,0,0,0,0
1.14,50,0,-0.05,-0.72,1,165.4,100,0,3,0,0,6547,0,0,18,18,35,35,519,526,293,294,28,28,27,28,92,98,86,89,46,46,47,47,0,0,0,0
1.16,51,0,0,-0.03,1,165.6,100,0,3,0,0,6554,0,0,18,18,35,35,517,524,293,293,28,28,27,28,92,98,86,89,46,46,47,47,0,0,0,0
1.18,52,0,0,-0.03,1,166.1,100,0,3,0,0,6574,0,0,17,18,35,35,517,524,293,293,28,28,27,28,92,98,86,89,46,46,47,47,0,0,0,0
1.2,53,0,0.01,0.67,0,166.3,100,0,3,0,0,6588,0,0,17,17,34,35,516,523,292,293,28,28,27,28,92,98,86,89,46,46,47,47,0,0,0,0
1.22,54,0,0.01,0.67,0,166.5,100,0,3,0,0,6599,0,0,16,17,34,34,516,523,292,293,28,28,27,28,92,98,86,89,46,46,48,48,0,0,0,0
1.24,55,0,0.01,0.67,0,166.7,100,0,3,0,0,6609,0,0,16,17,34,34,516,523,292,293,28,28,27,28,92,98,86,89,47,47,48,48,0,0,0,0
1.26,56,0,0.03,0.16,-1,166.9,100,0,3,0,0,6618,0,0,16,17,33,33,515,522,292,292,28,28,27,28,92,98,86,89,47,47,48,48,0,0,0,0
1.28,57,0,0.03,0.16,-1,167.3,100,0,3,0,0,6632,0,0,16,16,33,33,515,522,292,292,28,28,27,28,92,98,86,89,47,47,48,48,0,0,0,0
1.3,57,0,0.04,-0.6,-2,167.5,100,0,3,0,0,6636,0,0,15,15,32,33,514,521,291,292,28,28,27,28,92,98,86,89,47,47,48,48,0,0,0,0
1.32,58,0,0.04,-0.6,-2,167.7,100,0,3,0,0,6642,0,0,14,14,32,33,514,521,291,292,28,28,27,28,92,98,86,89,47,47,48,48,0,0,0,0
1.34,59,0,0.04,-0.6,-2,167.9,100,0,3,0,0,6655,0,0,13,14,31,32,514,521,291,292,28,28,27,28,92,98,86,89,47,47,48,48,0,0,0,0
1.36,60,0,-0.04,-1.79,-3,168.2,100,0,3,0,0,6677,0,0,12,14,30,31,513,520,291,291,28,28,27,28,92,98,86,89,47,47,48,48,0,0,0,0
1.38,61,0,-0.04,-1.79,-2,168.6,100,0,3,0,0,6711,0,0,12,13,29,30,513,520,291,291,28,28,27,28,92,98,86,89,47,47,48,48,0,0,0,0
1.4,62,0,-0.24,-2.79,-2,168.8,100,0,3,0,0,6713,0,0,12,11,28,29,512,518,291,291,28,28,27,28,92,98,86,89,47,47,48,48,0,0,0,0
1.42,63,0,-0.24,-2.79,-2,169,100,0,3,0,0,6711,0,0,12,9,27,29,512,518,291,291,28,28,27,28,92,98,86,89,47,47,48,48,0,0,0,0
1.44,64,0,-0.24,-2.79,-1,169.2,100,0,3,0,0,6714,0,0,12,8,27,28,512,518,291,291,28,28,27,28,92,98,86,89,47,47,49,49,0,0,0,0
1.46,65,0,-0.14,-3.28,0,169.4,100,0,3,0,0,6732,0,0,12,7,26,27,510,517,290,290,28,28,27,28,92,98,86,89,47,47,49,49,0,0,0,0
